               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.095478,            0.072547,            0.017411,           0.0048893,             0.03169,           0.0023701,           0.0004744,            0.092855,             0.04441,            0.016577,           0.0007166,           0.0007166,            0.075617
                  36,            0.094231,             0.07358,            0.017833,           0.0029769,             0.17958,           0.0020752,          0.00044969,            0.093086,            0.044324,            0.016445,          0.00067895,          0.00067895,            0.074879
                  37,            0.094602,            0.075111,            0.017913,           0.0040998,            0.052817,           0.0020292,          0.00045734,            0.093145,            0.044251,            0.016378,          0.00064118,          0.00064118,            0.074141
                  38,            0.094452,            0.068026,            0.017706,            0.004924,            0.014085,           0.0021353,          0.00043802,             0.09303,            0.044321,            0.016306,          0.00060374,          0.00060374,            0.073404
                  39,             0.09392,            0.072367,            0.018992,           0.0033368,             0.12676,           0.0021134,          0.00044361,            0.092916,            0.044418,            0.016231,          0.00056712,          0.00056712,            0.072667
                  40,            0.094983,            0.064105,            0.016398,           0.0041285,            0.024648,           0.0021145,          0.00049318,            0.092487,            0.044684,            0.016163,           0.0005318,           0.0005318,            0.071932
                  41,             0.09497,            0.066834,            0.018044,            0.003163,             0.12324,           0.0020339,          0.00049251,            0.092546,            0.044694,              0.0161,          0.00049825,          0.00049825,            0.071198
                  42,            0.094769,            0.070046,            0.018532,           0.0054264,            0.014085,            0.002078,           0.0004863,            0.092761,             0.04459,            0.016023,          0.00046699,          0.00046699,            0.070467
                  43,            0.094616,            0.074878,            0.019833,           0.0052271,            0.010563,            0.001987,          0.00049629,            0.092836,            0.044545,            0.015954,          0.00043848,          0.00043848,            0.069738
                  44,            0.094725,            0.073608,            0.017856,           0.0031318,             0.11972,           0.0019614,           0.0004762,            0.092847,            0.044566,            0.015915,          0.00041323,          0.00041323,            0.069013
                  45,            0.094067,            0.073833,            0.017056,           0.0046792,            0.010563,           0.0019347,           0.0004763,             0.09282,            0.044664,            0.015872,           0.0003917,           0.0003917,            0.068292
                  46,            0.094717,            0.062804,            0.018271,           0.0036076,            0.045775,           0.0019891,           0.0004871,            0.092773,             0.04468,              0.0158,          0.00037437,          0.00037437,            0.067574
                  47,            0.093252,            0.069864,            0.017758,           0.0033745,             0.13028,            0.001975,          0.00047544,            0.092621,            0.044766,            0.015745,           0.0003617,           0.0003617,            0.066862
                  48,            0.095657,            0.076821,            0.016882,           0.0033251,             0.11972,           0.0020135,          0.00047586,            0.092584,            0.044812,            0.015676,          0.00035414,          0.00035414,            0.066154
                  49,            0.096414,            0.069386,            0.017081,           0.0033997,              0.1162,           0.0019551,          0.00048066,            0.092512,            0.044862,            0.015617,           0.0003521,           0.0003521,            0.065452
